adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/y0ludgr1EvyXcT1lv2M0m621LQ6.jpg,"[10751, 12, 14, 10770]",277217,en,Descendants,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",52.4,/65DkgHPSLVjgr6IYkpY9Aqqqid5.jpg,2015-07-31,Descendants,False,7.1,2367
False,/4ydw24y7Wd0UJZOrd2FuRFqkfs.jpg,"[35, 10751, 10770]",134375,en,Home Alone: The Holiday Heist,"10-year-old Finn is terrified to learn his family is relocating from sunny California to Maine in the scariest house he has ever seen! Convinced that his new house is haunted, Finn sets up a series of elaborate traps to catch the “ghost” in action. Left home alone with his sister while their parents are stranded across town, Finn’s traps catch a new target – a group of thieves who have targeted Finn’s house.",30.139,/6bZdqzK3le84IVUIJCppYMG7UeA.jpg,2012-12-03,Home Alone: The Holiday Heist,False,5.175,435
False,/rTf1rucbSn8IaW4AU11lvBk3JmX.jpg,"[18, 10770]",12219,en,12 Angry Men,"During the trial of a man accused of his father's murder, a lone juror takes a stand against the guilty verdict handed down by the others as a result of their preconceptions and prejudices.",31.648,/whDdYx3lh1LHTN0VlPFt51fX29g.jpg,1997-08-17,12 Angry Men,False,7.7,371
False,/sYbdAWcTqcdLtpAnwIWjrIw6t0r.jpg,"[10751, 10770, 16]",359983,en,The Lion Guard: Return of the Roar,"Set in the African savannah, the film follows Kion as he assembles the members of the 'Lion Guard'. Throughout the film, the diverse team of young animals will learn how to utilize each of their unique abilities to solve problems and accomplish tasks to maintain balance within the Circle of Life, while also introducing viewers to the vast array of animals that populate the prodigious African landscape.",32.964,/duqg6CiSik02nSXjiQHo8TcwY4b.jpg,2016-01-25,The Lion Guard: Return of the Roar,False,6.7,1209
False,/j6663i5tlcPHJRuwbeSt7nd2BkC.jpg,"[28, 16, 12, 35, 14, 10770]",373879,ja,ONE PIECE 〜アドベンチャー オブ ネブランディア〜,"The Foxy Pirates challenge Luffy’s crew in the New World, but the fun and games go belly-up when the Navy’s most brilliant tactician steps in. Before the Straw Hats even know what hit them, they wind up on the island of Nebulandia, an infamous death trap for Devil Fruit users. Luffy must team up with his Davy Back nemesis for a harrowing rescue mission when Zoro, Sanji, and some Foxy Pirates are held hostage!",23.812,/gpHuW2shQwknL5ZaEk3LE8bX1tL.jpg,2015-12-20,One Piece: Adventure of Nebulandia,False,7.7,197
False,/8Sh04np6IA2shSycI9uy5xrjC6I.jpg,"[53, 10770]",375846,en,Bad Sister,"As a top student at St. Adeline's Catholic Boarding School, Zoe senses that something is not quite right about the school's new nun-- a sense proven to be true when it is revealed the ""good' nun is an imposter with a fatal attraction to Zoe's brother.",25.236,/jKrIlgfJPIWNeowaOZPBZuOPmq0.jpg,2015-08-24,Bad Sister,False,6.6,230
False,/nVl6SKKzuweWqDo56Iipov2tqm0.jpg,"[28, 53, 10770]",839,en,Duel,"Traveling businessman David Mann angers the driver of a rusty tanker while crossing the California desert. A simple trip turns deadly, as Mann struggles to stay on the road while the tanker plays cat and mouse with his life.",21.188,/w9Vk1Txx14vWvACELFYFlixrsfr.jpg,1971-11-13,Duel,False,7.425,1875
False,/xy4kRFTxMbPeWBKcQkijJ8i1DFx.jpg,"[14, 12, 35, 10770]",360605,en,Invisible Sister,"Teenager Cleo's school science project goes quite awry, causing her popular older sister Molly to go invisible.",22.532,/seWQvVIzb5xBjHW0Y1h4jvokxZN.jpg,2015-12-10,Invisible Sister,False,6.7,295
False,/wz9GW2xNzbpfjr3Tc5rKdGuPD49.jpg,"[878, 28, 35, 27, 10770]",331446,en,Sharknado 3: Oh Hell No!,"The sharks take bite out of the East Coast when the sharknado hits Washington, D.C. and Orlando, Florida.",13.471,/r8qy2CgaSjJYusWy3XkbZieK5aG.jpg,2015-07-22,Sharknado 3: Oh Hell No!,False,4.61,504
False,/g3OK7FhpD2hfT7R3EgA5HqdU2hb.jpg,"[10770, 53, 18]",333658,en,Seeds of Yesterday,"The Sheffield family reveal and go through some home truths as their middle child inherits the Foxworth mansion. The family's ghosts looming over, and more tragedies are in store as the curse lives on.",16.743,/xj2wTGex2P9sEbMILBG9iOebc4A.jpg,2015-04-12,Seeds of Yesterday,False,6.519,104
False,/lG8T8NMJHfBgxvobVBMy0rFR2OM.jpg,"[18, 80, 10770]",336845,en,Cleveland Abduction,"A single mother becomes Ariel Castro's first kidnapping victim, and finds herself trapped in his home with two other women for 11 years.",17.485,/j2iCc5fjyJvKRQAW7d6XWwDFzmr.jpg,2015-05-02,Cleveland Abduction,False,7.219,383
False,/Awo2WTB3p5NDGniBHZ8lRuKczR0.jpg,"[10752, 18, 10770]",10912,en,All Quiet on the Western Front,"At the start of World War I, Paul Baumer is a young German patriot, eager to fight. Indoctrinated with propaganda at school, he and his friends eagerly sign up for the army soon after graduation. But when the horrors of war soon become too much to bear, and as his friends die or become gravely wounded, Paul questions the sanity of fighting over a few hundreds yards of war-torn countryside.",18.216,/2HHFfieloWJcIz5PU3NKrv1i6DJ.jpg,1979-11-14,All Quiet on the Western Front,False,6.648,192
False,/72zwxiEl7JvzDoTcDEqJNrkclqj.jpg,"[18, 10770]",34843,en,Hawking,"The story of Professor Stephen Hawking's early years. It is 1963, and our young cosmologist celebrates his 21st birthday. At the party is a new friend, Jane Wilde - there is a strong attraction between the two. Jane is intrigued by Stephen's talk of stars and the Universe. But she realises that there is something very wrong when Stephen suddenly finds that he is unable to stand up.",8.95,/zqQZ050fNDnKzRWTo6Q0iLdDLMs.jpg,2004-12-10,Hawking,False,7.0,147
False,/s3q2Hk5KZdwVyNekNZmg1bUhlPu.jpg,"[35, 18, 10770]",263627,en,Lucky in Love,"When Mira's April Fool's Day tricks materialize, she finds herself promoted to the perfect job, dating the perfect man and living in the perfect home. Mira's newly upgraded life even involves working with her CEO and her good friend, on a coveted work project. When these seemingly positive changes result in big challenges, Mira realizes that the pursuit of perfection is a fool's errand. In order to achieve a life that's perfect for her, Mira must let go of perfection and chase what brings her true happiness.",9.726,/mv91QcucVwSSaHb1KNtlK04KQqK.jpg,2014-04-05,Lucky in Love,False,5.8,36
False,/ffc8RVgAWdm3qNtJ5Eq9RKck9Ft.jpg,"[28, 12, 14, 10770]",317960,en,Viking Quest,"Erick, a young Viking warrior, joins forces with a rival clan in order to rescue a kidnapped princess from the great Midgard Serpent. It's a perilous task with a risk far greater than merely their own lives; by rescuing the princess, they might cause Ragnarök - the end of the world.",11.493,/grma5z8uPKan8IR4DdtXm1g2BWz.jpg,2014-10-07,Viking Quest,False,4.189,37
False,/xlrfVXG27AND092TU8XKPWTyGn1.jpg,"[10749, 10770]",360603,en,Crown for Christmas,"Allie Foster, a struggling New York artist, reluctantly accepts to act as a governess to a rebellious Princess Theodora of Winshire. When Allie forms an unlikely bond with the princess, she attracts the attention of the handsome King Maximillian, who’s facing an arranged marriage against his heart’s wishes. As Christmas Eve draws near, Allie finds herself swept up in romance, royalty and the spirit of the holidays.",12.127,/7lRL9n6Zvvl7BMpGzELvzWJx2df.jpg,2015-11-27,Crown for Christmas,False,6.979,189
False,/eNZmGXxHrEUGMpIM9jBzaWRCpZV.jpg,"[16, 28, 35, 80, 10770]",46033,ja,ルパン三世VS名探偵コナン,"When a wealthy woman and her son die in a hunting accident, it's up to Conan Edogawa to solve the case. Meanwhile, Lupin the Third is after the Queen Crown, owned by the Vesparand royal family. When these two legendary characters meet, who will win the day?! Followed by “Lupin the Third vs. Detective Conan: The Movie” (2013).",11.349,/fKyaxC7eIzYrgLzr8fYt5jgfKUd.jpg,2009-03-27,Lupin the Third vs. Detective Conan,False,6.9,123
False,/vBBI4eAc9Hs344kko5eqPZTajLl.jpg,"[10770, 10751, 35, 14]",325189,en,Teen Beach 2,"When characters from the movie musical “Wet Side Story” get stuck in the real world, teens Brady and Mack must find a way to return them home.",15.081,/5hm2P8pMoeJlETIaSP6OWR0Lu7c.jpg,2015-06-26,Teen Beach 2,False,6.8,583
False,/q5CQZRXM5PBMNga9G1cErB6gOs8.jpg,"[10770, 18, 14]",332356,en,Killing Jesus,Jesus of Nazareth’s life and ministry were subject to seismic social and political events that led to his execution and changed the world forever.,12.068,/1Wr7apWkhqHSdzmxnQuzlKTzdK.jpg,2015-04-05,Killing Jesus,False,6.3,83
False,/vt5UhqjyWYbmJdZhrQsWpRCqCra.jpg,"[10751, 878, 10770]",286987,en,How to Build a Better Boy,"After inadvertently inputting the qualities of the ideal boyfriend into a high-tech government computer, two social outcasts named Mae and Gabby must contend with Albert, a cybernetic sweetheart with only one directive: to treat Mae to the perfect highschool romance.",14.796,/ivo09vYN76w3epqAv9jS9BEXi5N.jpg,2014-11-18,How to Build a Better Boy,False,6.4,395
False,/agnO4yvC1H05nEbqonBZ5TH7EcE.jpg,"[14, 10751, 18, 10770]",50479,en,Avalon High,"Elaine ""Ellie"" Harrison has just moved from Minnesota to Annapolis, Maryland while her parents take a year-long sabbatical to continue their medieval studies in nearby Washington D.C. Her new high school, Avalon High, seems like a typical high school with the stereotypical students: Lance the jock, Jennifer the cheerleader, Marco, the bad boy/desperado, and Will, the senior class president, quarterback, and all around good guy. But not everyone at Avalon High is who they appear to be, not even Ellie herself. Eventually, it becomes apparent that Avalon High is a situation where the ancient Arthurian legend is repeating itself.",11.021,/hgS7dPj4e6IYzDXn5IHA6XIbKfl.jpg,2011-01-28,Avalon High,False,6.189,551
False,/uwnAbCfrxDeWKqxAMas6ZnmAqfQ.jpg,"[10749, 18, 14, 10770]",367544,en,The Spirit of Christmas,A woman falls in love with a man who is somewhat unavailable.,8.469,/ynWcaW8ZrtBeuzgUyEXR30A2TAT.jpg,2015-11-28,The Spirit of Christmas,False,7.007,297
False,/An1FS6Baec7uogTcQyEYqruYAtM.jpg,"[16, 35, 878, 10770, 12, 28]",354857,en,Regular Show: The Movie,"After a high school lab experiment goes horribly wrong, Mordecai and Rigby must go back in time to battle an evil volleyball coach in order to save the universe — and their friendship.",15.675,/p44RoW4naoE1nlSGOqqT0J2pc09.jpg,2015-09-01,Regular Show: The Movie,False,7.8,382
False,/mSk6iufrXrDAbcBwTjm4JeXczD8.jpg,"[27, 878, 10770, 28]",347849,en,Zombie Shark,"A perfect getaway weekend turns into a nightmare for four friends who find themselves fighting for their lives against an experimental shark. In order to survive they must fight sharks, zombies, and shark zombies.",7.624,/agGwR9RRScBS7DwBg4SU81tzvud.jpg,2015-07-20,Zombie Shark,False,4.219,57
False,/tzlgd1gzYxtzCfwoxT6lEls1v7s.jpg,"[35, 12, 10770, 10751]",317198,en,Bad Hair Day,"Monica is desperate to be prom queen, but on the big night, her hair is an uncontrollable mess. Meanwhile, FBI agent Liz Morgan is on the hunt for a jewel thief who is looking for a stolen necklace, which Monica has in her possession. Soon, she and the agent chase the jewel thief, and she's whizzed on a wild adventure in the city.",13.627,/8gsWYYYOCVWFy2JyMD7HRg6KfyC.jpg,2015-02-13,Bad Hair Day,False,6.4,284
False,/shwUJGIDCq1wRA7IJ6qHrfgeTyF.jpg,"[18, 80, 53, 9648, 10770]",359305,en,An Inspector Calls,"Northern England, 1912. The dinner of a wealthy family is interrupted by Inspector Goole, who only announces that a young woman has committed suicide. Then, he simply asks everyone present, one by one, if they knew her.",9.858,/rFsUfTMfSAWrVbEK7vN5jQtVrqc.jpg,2015-09-13,An Inspector Calls,False,7.4,226
False,/37JflD6rOac5dTk1bPn96flyQAI.jpg,"[18, 10770, 80, 9648]",361263,en,Jesse Stone: Lost in Paradise,"Police Chief Jesse Stone now presides over the quiet, seaside village of Paradise, Massachusetts. When the facts don't add up in a brutal Boston-area murder case, Jesse opens an investigation filled with surprises, unlikely suspects and grave danger. Though it's widely believed the murder was committed by an incarcerated serial killer, Jesse suspects another killer is at large and is hell-bent on bringing him to justice.",12.392,/dlUsMfXqPQN41XBn8hxCbOfSn7x.jpg,2015-10-18,Jesse Stone: Lost in Paradise,False,6.6,93
False,/1X8BeHlDB8rEyiyRkjD8DAHlwQp.jpg,"[35, 10770]",363807,en,"Liar, Liar, Vampire","When ordinary boy Davis suddenly becomes famous at school as people start to believe he's actually a vampire, vampire expert Cameron helps him act like a real vampire.",12.102,/nCVQCntHI0f8QdgFzS8OMA2ys1H.jpg,2015-10-12,"Liar, Liar, Vampire",False,7.1,86
False,/8v7Hxt2Gc3yMzoctRHBe9ZJYfcU.jpg,"[80, 9648, 10770]",369892,en,CSI: Immortality,"An explosion inside a casino brings Catherine Willows back to Las Vegas to investigate. And when the crime is tied to Lady Heather, Gil Grissom is brought back as well to aid the investigation.  This is a 2 part TV Special. Series Finale",7.412,/kXL57yT8B9XLLJtySlIr6dwDS4y.jpg,2015-09-27,CSI: Immortality,False,7.1,63
False,/35qwBekI9XCxhk9jEsAKUPQmvT.jpg,"[10770, 10749]",361745,en,Autumn Dreams,"With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future.",10.772,/rqhBCMzRU6DPhoMIB07bXYcsPNh.jpg,2015-10-03,Autumn Dreams,False,6.6,122
False,/sW5mPgwYEpzauk0QOBWxRUhs2t9.jpg,"[35, 10402, 10770]",364067,en,A Very Murray Christmas,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gotham’s Carlyle Hotel to help him — dancing and singing in holiday spirit.",9.466,/2ir2DjNNXmMePsyc4inFa8oI23r.jpg,2015-12-04,A Very Murray Christmas,False,5.2,421
False,/8YucpO5z5TrhI7BbyfZ4yX8ahr7.jpg,"[28, 878, 10770]",353257,en,Earthfall,"As a rogue planet roars through our solar system, it acts as an intergalactic magnet that pulls Earth in its wake. Meteors destroy major cities. Fire and ice storms engulf the land. Casualties are in the millions. And as the situation grows even worse, Steve Lannon is determined to reunite with his wife and teenage daughter. But when they stumble into a secret government installation, they'll uncover a nuclear mission that will either blast our planet back into orbit or guarantee front row seats to the end of the world.",9.464,/dCaPFrbKnAjfcz9fUIoX0slelbk.jpg,2015-06-22,Earthfall,False,4.9,78
False,/ggOz8X6UnMkfxQb9koKpWb4eSnc.jpg,"[18, 10770, 9648, 80]",348631,en,Gourmet Detective: A Healthy Place to Die,"When Henry is invited as a guest speaker at a luxury resort spa, he quickly finds himself at the center of another murder. With Maggie at his side, our favorite duo must not only find the killer but be careful they don't become his latest victim.",9.129,/6tNpD8NCMojed9X9bYyi4IrXpaI.jpg,2015-08-02,Gourmet Detective: A Healthy Place to Die,False,6.6,42
False,/v4pufdPDfe2RV2iWVBI2ETKlEt4.jpg,"[18, 36, 10770]",31018,en,Path to War,A powerful drama of soaring ambition and shattered dreams that takes a provocative insider's look at the way the USA goes to war—as seen from inside the LBJ White House leading up to and during the Vietnam War.,7.736,/rcz5c4JeyExYVpdoNmEpViPcbug.jpg,2003-10-28,Path to War,False,6.7,54
False,,"[878, 27, 9648, 10770]",48397,en,Beyond Loch Ness,"James Murphey is a rugged cryptozoologist, who thirty years earlier, during a trip to Loch Ness, Scotland, had a fatal encounter with the fabled ""Nessie"" creature that killed his father, and left James with deep facial scar. Twenty years later, James is hunting for Nessie, when his search leads him to the sleepy town of Pike Island, Ashburn, on Lake Superior. Hiring Josh Riley as his guide, James and Josh bond over their mutual scientific interests and deceased fathers, while James tries to convince Josh's mother, Sheriff Karen Riley, that the 60-foot plesiosaur is killing and breeding.",6.428,/qFv5G3Io0hF0ruAO1z0KBTXCHEh.jpg,2008-01-05,Beyond Loch Ness,False,4.4,48
False,/eq0N54GnErEcTJtTWu7UOzqfKPp.jpg,"[9648, 80, 18, 10770]",295237,en,The Assault,"After a cheerleader is sexually assaulted by the high school football team, she must overcome her shame and use the evidence gathered from the subsequent social media firestorm to piece together the night that she can't remember in her fight for justice. Based on the true story of the Steubenville, Ohio rape case.",6.799,/54PNm7cEMxJMn1TUsjGy4B4oyud.jpg,2014-09-20,The Assault,False,7.0,73
