sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,19,,良好,0.3,0.03,23.9,21.4,16,2,0.3,0.5,0.2,3.3,186,"2024-06-21 15:00",,0,1.8,14,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,20,,良好,0.3,0.15,21.2,22.4,10,3,2,3.1,1.1,1.3,302,"2024-06-21 15:00",,0.1,3,12,0,120.65525382,24.39017512,312
新北(樹林),新北市,40,,良好,0.7,0.15,31.3,22.4,29,14,,,,0.4,238,"2024-06-21 15:00",,0.1,12.4,25,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,27,,良好,,0.07,14.3,12.8,14,9,1.2,2.5,1.2,1.1,140,"2024-06-21 15:00",,0,8.3,14,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,20,,良好,0.6,0.09,16.2,19.4,15,6,3.9,7.8,3.8,1.5,194,"2024-06-21 15:00",,0.1,6.3,17,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,18,,良好,0.1,0.08,13.7,13.3,16,2,1.7,4.6,2.9,2.7,216,"2024-06-21 15:00",,0.1,3.2,18,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,23,,良好,2.1,0.14,32.1,24.0,20,7,4.6,7.8,3.1,1.5,304,"2024-06-21 15:00",,0.1,7,21,1,120.56373,23.96117,201
大城,彰化縣,20,,良好,2.4,0.03,26.3,22.3,12,0,3.2,5,1.8,5.6,267,"2024-06-21 15:00",,0,3.5,20,1,120.26964167,23.85493056,85
富貴角,新北市,27,,良好,0.3,0.08,26.9,29.9,8,2,0,0,0,3.5,250,"2024-06-21 15:00",,0.1,7.4,17,0,121.53656894,25.29681695,84
麥寮,雲林縣,21,,良好,1.6,0.07,25.4,23.5,9,3,0,0.4,0.5,4.5,245,"2024-06-21 15:00",,0.1,2.6,12,1,120.251825,23.753506,83
關山,臺東縣,15,,良好,,0.06,,13.9,6,4,1.6,2.2,0.6,3.5,212,"2024-06-21 15:00",,0,2.6,15,0,121.161933,23.045083,80
馬公,澎湖縣,18,,良好,0.8,0.08,23.7,19.3,7,0,1.1,1.6,0.4,2.3,268,"2024-06-21 15:00",,0.1,0.3,4,0,119.566158,23.569031,78
