join_date,group,city,state,country
2016/11/18,houston machine learning,Houston,TX,us
2017/5/9,houston machine learning,Houston,TX,us
2016/12/30,houston machine learning,Houston,TX,us
2016/7/18,houston machine learning,Houston,TX,us
2017/5/25,houston machine learning,Houston,TX,us
2016/7/11,houston machine learning,Houston,TX,us
2017/3/22,houston machine learning,Houston,TX,us
2016/12/9,houston machine learning,Houston,TX,us
2016/9/30,houston machine learning,Houston,TX,us
2017/7/6,houston machine learning,Katy,TX,us
2017/3/6,houston machine learning,Orizaba,,mx
2017/2/8,houston machine learning,Houston,TX,us
2017/6/9,houston machine learning,Houston,TX,us
2016/12/20,houston machine learning,Houston,TX,us
2016/8/24,houston machine learning,Spring,TX,us
2016/10/13,houston machine learning,Houston,TX,us
2016/9/17,houston machine learning,Cold Spring Harbor,NY,us
2017/4/11,houston machine learning,Kenmore,WA,us
2017/8/24,houston machine learning,Houston,TX,us
2017/3/25,houston machine learning,Houston,TX,us
2017/4/1,houston machine learning,Houston,TX,us
2017/5/3,houston machine learning,Houston,TX,us
2017/3/4,houston machine learning,Houston,TX,us
2017/9/26,houston machine learning,Houston,TX,us
2016/7/23,houston machine learning,Sugar Land,TX,us
2017/10/12,houston machine learning,Houston,TX,us
2017/8/8,houston machine learning,Colorado Springs,CO,us
2016/10/11,houston machine learning,Houston,TX,us
2017/4/10,houston machine learning,Houston,TX,us
2017/9/23,houston machine learning,Houston,TX,us
2016/8/16,houston machine learning,Houston,TX,us
2016/11/1,houston machine learning,Houston,TX,us
2016/7/11,houston machine learning,Houston,TX,us
2016/11/29,houston machine learning,Houston,TX,us
2017/4/18,houston machine learning,Houston,TX,us
2017/8/8,houston machine learning,Houston,TX,us
2016/12/15,houston machine learning,Houston,TX,us
2017/9/23,houston machine learning,Pearland,TX,us
2017/4/18,houston machine learning,Houston,TX,us
2016/7/14,houston machine learning,Houston,TX,us
2017/8/18,houston machine learning,Houston,TX,us
2017/6/13,houston machine learning,Houston,TX,us
2016/10/2,houston machine learning,Austin,TX,us
2016/8/14,houston machine learning,Houston,TX,us
2017/8/6,houston machine learning,Houston,TX,us
2016/12/24,houston machine learning,Houston,TX,us
2017/5/25,houston machine learning,Houston,TX,us
2017/5/31,houston machine learning,Tel Aviv-Yafo,,il
2017/7/9,houston machine learning,Katy,TX,us
2017/9/29,houston machine learning,Houston,TX,us
2017/7/5,houston machine learning,Baltimore,MD,us
2016/7/20,houston machine learning,Garza García,,mx
2017/9/9,houston machine learning,Houston,TX,us
2017/9/25,houston machine learning,Katy,TX,us
2017/2/12,houston machine learning,Houston,TX,us
2017/5/23,houston machine learning,Houston,TX,us
2017/6/9,houston machine learning,Houston,TX,us
2017/3/25,houston machine learning,Houston,TX,us
2017/1/12,houston machine learning,Houston,TX,us
2017/9/27,houston machine learning,Arlington,TX,us
2017/8/15,houston machine learning,Houston,TX,us
2017/8/23,houston machine learning,Houston,TX,us
2017/7/16,houston machine learning,Houston,TX,us
2016/7/9,houston machine learning,Katy,TX,us
2016/12/3,houston machine learning,Houston,TX,us
2017/7/13,houston machine learning,Houston,TX,us
2017/4/8,houston machine learning,Houston,TX,us
2017/5/7,houston machine learning,Houston,TX,us
2017/7/30,houston machine learning,San Francisco,CA,us
2017/4/16,houston machine learning,San Jose,CA,us
2017/6/13,houston machine learning,Houston,TX,us
2017/7/24,houston machine learning,Houston,TX,us
2017/3/22,houston machine learning,Houston,TX,us
2017/10/9,houston machine learning,Houston,TX,us
2016/8/20,houston machine learning,Houston,TX,us
2017/7/27,houston machine learning,League City,TX,us
2017/4/8,houston machine learning,Houston,TX,us
2017/5/8,houston machine learning,Houston,TX,us
2016/7/21,houston machine learning,Houston,TX,us
2017/1/28,houston machine learning,Cypress,TX,us
2016/12/15,houston machine learning,Houston,TX,us
2017/4/12,houston machine learning,Austin,TX,us
2016/7/9,houston machine learning,Houston,TX,us
2017/3/16,houston machine learning,Houston,TX,us
2016/7/10,houston machine learning,Houston,TX,us
2017/3/8,houston machine learning,Stafford,TX,us
2016/8/28,houston machine learning,Houston,TX,us
2017/1/3,houston machine learning,Houston,TX,us
2016/9/26,houston machine learning,Houston,TX,us
2017/4/5,houston machine learning,Dallas,TX,us
2016/8/12,houston machine learning,Houston,TX,us
2016/7/21,houston machine learning,Houston,TX,us
2017/7/11,houston machine learning,Friendswood,TX,us
2016/7/9,houston machine learning,Houston,TX,us
2016/11/22,houston machine learning,Houston,TX,us
2016/11/30,houston machine learning,Houston,TX,us
2017/2/25,houston machine learning,Houston,TX,us
2017/2/12,houston machine learning,Lawtell,LA,us
2017/3/19,houston machine learning,Katy,TX,us
2017/4/5,houston machine learning,Houston,TX,us
2016/10/26,houston machine learning,Houston,TX,us
